bigram,freq,prob
th,214773,0.02435342
in,175437,0.01989307
he,167686,0.01901418
er,146531,0.0166154
an,142125,0.01611579
re,132383,0.01501114
es,120902,0.0137093
on,112301,0.01273402
st,109713,0.01244057
at,101931,0.01155816
ti,100730,0.01142198
nt,100237,0.01136608
en,98437,0.01116197
or,97418,0.01104643
to,96718,0.01096705
nd,96686,0.01096343
ea,94419,0.01070637
te,84991,0.00963732
ou,84922,0.0096295
ed,82037,0.00930236
ng,81889,0.00928558
it,80852,0.00916799
ar,80097,0.00908238
al,78445,0.00889506
et,74219,0.00841587
is,71465,0.00810359
ha,70253,0.00796616
se,66818,0.00757667
as,63359,0.00718445
le,63265,0.00717379
ve,61999,0.00703024
ro,60720,0.00688521
si,59935,0.0067962
sa,58158,0.0065947
of,58079,0.00658574
ra,57505,0.00652066
ta,56501,0.00640681
me,55768,0.0063237
co,55655,0.00631088
de,55515,0.00629501
ne,55372,0.00627879
ec,54212,0.00614726
ri,53468,0.0060629
ll,50864,0.00576763
li,49654,0.00563043
so,48645,0.00551601
ur,48286,0.00547531
hi,48191,0.00546453
el,47389,0.00537359
io,47355,0.00536974
om,46581,0.00528197
di,46210,0.00523991
ic,46092,0.00522653
ma,44289,0.00502208
na,43682,0.00495325
ce,43610,0.00494509
rt,43284,0.00490813
ca,42674,0.00483896
la,42546,0.00482444
ns,40778,0.00462397
rs,40730,0.00461852
ss,40485,0.00459074
fo,40475,0.00458961
yo,40009,0.00453677
ts,39847,0.0045184
ch,39545,0.00448416
ot,39204,0.00444549
ho,38692,0.00438743
ee,38639,0.00438142
ac,38625,0.00437984
tt,38615,0.0043787
il,37742,0.00427971
em,37380,0.00423867
be,37297,0.00422925
no,36497,0.00413854
lo,36000,0.00408219
us,35967,0.00407844
ei,35517,0.00402742
ni,34889,0.00395621
wi,34725,0.00393761
da,33770,0.00382932
pe,33381,0.00378521
pr,32964,0.00373793
tr,32195,0.00365073
nc,31715,0.00359631
ut,31424,0.00356331
ge,31142,0.00353133
ow,29367,0.00333006
ct,29117,0.00330172
ew,28867,0.00327337
sh,28798,0.00326554
ep,28743,0.00325931
we,28612,0.00324445
ly,28169,0.00319422
eo,27888,0.00316236
dt,27658,0.00313628
un,27482,0.00311632
ad,27278,0.00309319
os,26775,0.00303615
pa,26392,0.00299273
do,26240,0.00297549
wa,26043,0.00295315
ie,25797,0.00292526
ol,25775,0.00292276
ef,25225,0.0028604
mo,25161,0.00285314
am,25029,0.00283817
ai,24213,0.00274565
oo,24151,0.00273862
id,23970,0.00271809
po,23688,0.00268612
fi,23318,0.00264416
wh,23256,0.00263713
sp,22874,0.00259382
su,22806,0.00258611
mi,22689,0.00257284
op,22633,0.00256649
pl,22494,0.00255073
ft,22452,0.00254597
vi,22188,0.00251603
ul,21585,0.00244766
ir,21307,0.00241613
ke,21240,0.00240854
ev,21092,0.00239175
ay,20743,0.00235218
ds,20668,0.00234368
im,20522,0.00232712
sc,20468,0.002321
ab,20401,0.0023134
ga,20323,0.00230456
iv,19733,0.00223766
ia,19545,0.00221634
ry,19475,0.0022084
fe,19342,0.00219332
eb,19093,0.00216509
ig,19086,0.00216429
ty,18784,0.00213005
sw,18489,0.0020966
av,18447,0.00209184
od,18321,0.00207755
ap,18163,0.00205963
ld,18158,0.00205907
tu,18084,0.00205067
gh,17912,0.00203117
mp,17776,0.00201575
ls,17582,0.00199375
ag,17366,0.00196926
ci,17312,0.00196314
rd,17046,0.00193297
ht,16932,0.00192005
wo,16926,0.00191937
oc,16695,0.00189317
fr,16660,0.00188921
tw,16318,0.00185043
fa,16148,0.00183115
bl,16062,0.0018214
ey,16061,0.00182128
ov,15948,0.00180847
rm,15856,0.00179804
gi,15848,0.00179713
eg,15617,0.00177094
if,15542,0.00176243
go,15479,0.00175529
rc,15453,0.00175234
lt,15450,0.001752
bo,15391,0.00174531
ys,15382,0.00174429
gr,15148,0.00171776
yt,15087,0.00171084
uc,14708,0.00166787
gt,14450,0.00163861
bu,14426,0.00163589
ya,14063,0.00159473
ex,13981,0.00158543
ck,13463,0.0015267
eh,13275,0.00150538
ba,13216,0.00149869
rn,13071,0.00148225
du,12972,0.00147102
cl,12901,0.00146297
oa,12762,0.00144721
ki,12671,0.00143689
sf,12555,0.00142374
ff,12292,0.00139391
ny,11775,0.00133529
up,11775,0.00133529
tc,11644,0.00132044
pp,11575,0.00131261
ob,11438,0.00129708
dr,11418,0.00129481
cr,11395,0.0012922
ua,11181,0.00126794
sm,11133,0.00126249
oi,11085,0.00125705
pi,11014,0.001249
ak,10952,0.00124197
ye,10888,0.00123471
cu,10877,0.00123347
nf,10534,0.00119457
rr,10511,0.00119197
db,10473,0.00118766
og,10470,0.00118732
tl,10361,0.00117496
lu,10350,0.00117371
sb,10250,0.00116237
yi,10114,0.00114695
rk,9875,0.00111985
af,9854,0.00111747
dw,9766,0.00110749
um,9730,0.00110341
ru,9693,0.00109921
va,9657,0.00109513
qu,9564,0.00108458
ue,9471,0.00107404
sl,9156,0.00103832
au,9110,0.0010331
ui,9106,0.00103265
bi,8986,0.00101904
gs,8892,0.00100839
fu,8862,0.00100498
rp,8853,0.00100396
dd,8851,0.00100374
rg,8834,0.00100181
rl,8802,0.00099818
ug,8802,0.00099818
by,8736,0.0009907
tm,8633,0.00097902
nn,8628,0.00097845
rf,8567,0.00097153
pt,8448,0.00095804
dc,8335,0.00094523
nu,8327,0.00094432
br,8120,0.00092085
nl,8036,0.00091132
mm,8032,0.00091087
ok,7930,0.0008993
ip,7846,0.00088978
tf,7702,0.00087345
sn,7698,0.000873
ms,7605,0.00086245
eu,7508,0.00085145
df,7504,0.000851
ud,7497,0.0008502
mu,7481,0.00084839
dm,7410,0.00084034
nw,7364,0.00083512
aw,7300,0.00082787
yw,7259,0.00082322
tp,7253,0.00082254
sy,7214,0.00081812
rw,7202,0.00081675
nm,7186,0.00081494
dp,7097,0.00080485
mb,7076,0.00080247
yc,7067,0.00080145
tb,7016,0.00079566
pu,6981,0.0007917
hr,6975,0.00079101
sd,6912,0.00078387
rv,6752,0.00076573
rb,6741,0.00076448
nb,6716,0.00076165
lp,6626,0.00075144
gu,6593,0.0007477
my,6550,0.00074282
dh,6407,0.00072661
cc,6399,0.0007257
ks,6392,0.00072491
yp,6256,0.00070949
sr,6254,0.00070926
dl,6108,0.0006927
np,6029,0.00068375
ph,6013,0.00068193
fl,5968,0.00067683
nk,5936,0.0006732
wn,5928,0.00067229
gn,5862,0.00066481
mt,5861,0.0006647
lf,5675,0.00064361
oe,5640,0.00063964
ib,5626,0.00063805
nh,5554,0.00062989
td,5509,0.00062478
ps,5503,0.0006241
yb,5483,0.00062184
dy,5459,0.00061911
ym,5425,0.00061526
ub,5372,0.00060925
lb,5365,0.00060846
lc,5336,0.00060517
ik,5331,0.0006046
yf,5316,0.0006029
gl,5231,0.00059326
xp,5163,0.00058555
ju,5161,0.00058532
oh,5007,0.00056786
ka,4999,0.00056695
rh,4990,0.00056593
oy,4880,0.00055346
dn,4850,0.00055006
dg,4810,0.00054552
sk,4691,0.00053203
yd,4639,0.00052613
nv,4622,0.00052421
fy,4568,0.00051808
yl,4432,0.00050266
hs,4429,0.00050232
hu,4413,0.00050051
iz,4365,0.00049506
jo,4349,0.00049325
lm,4285,0.00048599
yh,4260,0.00048316
vo,4235,0.00048032
nr,4171,0.00047307
hy,4141,0.00046967
yr,4138,0.00046932
eq,4069,0.0004615
ws,4045,0.00045878
tn,4014,0.00045526
ek,3979,0.0004513
sg,3914,0.00044393
lw,3900,0.00044234
bs,3867,0.0004386
kn,3806,0.00043168
fs,3728,0.00042283
ze,3687,0.00041819
xt,3588,0.00040696
wt,3549,0.00040254
gw,3536,0.00040106
gf,3456,0.00039199
ah,3422,0.00038814
gy,3377,0.00038303
ko,3261,0.00036988
gp,3259,0.00036965
kt,3230,0.00036637
dv,3223,0.00036557
fc,3204,0.00036342
gc,3165,0.000359
aa,3160,0.00035843
je,3159,0.00035832
lr,3102,0.00035185
cs,2995,0.00033972
yn,2992,0.00033938
gg,2933,0.00033269
gm,2873,0.00032589
tg,2815,0.00031931
hc,2757,0.00031273
hm,2724,0.00030899
hn,2601,0.00029504
hw,2600,0.00029493
cy,2586,0.00029334
lv,2570,0.00029153
nj,2566,0.00029107
lh,2545,0.00028869
xi,2503,0.00028393
fm,2477,0.00028098
iw,2476,0.00028087
gb,2444,0.00027724
fp,2408,0.00027316
lk,2320,0.00026318
hl,2303,0.00026125
uw,2278,0.00025842
pm,2252,0.00025547
wr,2247,0.0002549
yg,2231,0.00025309
ja,2220,0.00025184
sv,2066,0.00023438
gd,2057,0.00023336
ln,2044,0.00023188
xc,2017,0.00022882
uf,2001,0.00022701
ih,1976,0.00022417
mw,1959,0.00022225
hp,1954,0.00022168
fw,1943,0.00022043
mc,1908,0.00021646
py,1902,0.00021578
fh,1900,0.00021556
xa,1900,0.00021556
lg,1869,0.00021204
ej,1867,0.00021181
hf,1862,0.00021125
hh,1840,0.00020875
hb,1816,0.00020603
mf,1795,0.00020365
oj,1716,0.00019469
fb,1706,0.00019356
fd,1678,0.00019038
ww,1658,0.00018812
kw,1631,0.00018505
hd,1621,0.00018392
kl,1612,0.0001829
za,1602,0.00018177
az,1596,0.00018109
yu,1563,0.00017734
zi,1528,0.00017337
ix,1517,0.00017213
kf,1466,0.00016634
ox,1464,0.00016612
uh,1458,0.00016544
wl,1437,0.00016306
iu,1429,0.00016215
ao,1422,0.00016136
tv,1407,0.00015965
ky,1398,0.00015863
ax,1389,0.00015761
xe,1386,0.00015727
uy,1386,0.00015727
ae,1313,0.000149
pw,1303,0.00014786
yy,1296,0.00014707
dj,1287,0.00014605
wy,1251,0.00014197
sj,1249,0.00014174
pd,1231,0.0001397
bb,1228,0.00013936
ml,1227,0.00013924
pc,1211,0.00013743
mh,1204,0.00013664
uk,1181,0.00013403
wc,1158,0.00013142
aj,1144,0.00012983
mr,1119,0.000127
tj,1089,0.0001236
mn,1089,0.0001236
tk,1086,0.00012326
wd,1073,0.00012178
kb,1072,0.00012167
bt,1067,0.0001211
wm,1065,0.00012087
fg,1053,0.00011951
kc,1046,0.00011872
pf,1044,0.00011849
md,1040,0.00011804
cp,1034,0.00011736
kh,1022,0.000116
fn,997,0.00011316
sq,964,0.00010942
iq,937,0.00010636
yv,928,0.00010534
ii,913,0.00010364
hg,898,0.00010194
uo,886,0.00010058
km,881,0.00010001
pb,881,0.00010001
wp,862,9.786e-05
ku,852,9.672e-05
kp,835,9.479e-05
dk,812,9.219e-05
wb,811,9.207e-05
zo,806,9.151e-05
kr,802,9.105e-05
mg,794,9.015e-05
rj,780,8.856e-05
ez,775,8.799e-05
wf,774,8.788e-05
cd,769,8.731e-05
cm,744,8.448e-05
yk,718,8.153e-05
yj,709,8.051e-05
bj,615,6.985e-05
aq,597,6.781e-05
kd,591,6.713e-05
uv,590,6.701e-05
cf,575,6.531e-05
bm,566,6.429e-05
cw,560,6.361e-05
kg,551,6.259e-05
cb,549,6.236e-05
fv,514,5.84e-05
pg,509,5.783e-05
ij,498,5.658e-05
gv,497,5.647e-05
nz,481,5.465e-05
tq,477,5.42e-05
bc,469,5.329e-05
fj,447,5.08e-05
dq,439,4.989e-05
hv,439,4.989e-05
nq,436,4.955e-05
rq,429,4.876e-05
tz,420,4.774e-05
pn,409,4.649e-05
oz,401,4.558e-05
xo,387,4.4e-05
cn,386,4.388e-05
xh,374,4.252e-05
vy,370,4.207e-05
xs,368,4.184e-05
zz,358,4.071e-05
wu,355,4.037e-05
ux,350,3.98e-05
wg,347,3.946e-05
lj,346,3.935e-05
mv,339,3.855e-05
bd,328,3.731e-05
gj,326,3.708e-05
cg,321,3.651e-05
uu,319,3.629e-05
hk,308,3.504e-05
hq,307,3.492e-05
hj,300,3.413e-05
gk,297,3.379e-05
cq,295,3.356e-05
ji,290,3.3e-05
bp,283,3.22e-05
fk,280,3.186e-05
zy,280,3.186e-05
bh,274,3.118e-05
yq,267,3.039e-05
iy,264,3.005e-05
xu,261,2.971e-05
bw,255,2.903e-05
vs,251,2.857e-05
mj,250,2.846e-05
xm,250,2.846e-05
bf,247,2.812e-05
nx,246,2.801e-05
cv,242,2.755e-05
xy,233,2.653e-05
bv,224,2.551e-05
xb,213,2.427e-05
vr,211,2.404e-05
kj,203,2.313e-05
oq,199,2.268e-05
xf,194,2.211e-05
xr,190,2.166e-05
uz,190,2.166e-05
xw,188,2.143e-05
bn,188,2.143e-05
kv,185,2.109e-05
wk,184,2.098e-05
pv,181,2.064e-05
kk,180,2.052e-05
mk,177,2.018e-05
vp,172,1.962e-05
zu,169,1.928e-05
uj,167,1.905e-05
lq,164,1.871e-05
wv,163,1.86e-05
xl,158,1.803e-05
vu,157,1.792e-05
yz,156,1.78e-05
vc,152,1.735e-05
bg,147,1.678e-05
pk,144,1.644e-05
gq,143,1.633e-05
sx,137,1.565e-05
rz,137,1.565e-05
zh,137,1.565e-05
wj,134,1.531e-05
xd,133,1.519e-05
vd,132,1.508e-05
zw,127,1.451e-05
dz,126,1.44e-05
pj,120,1.372e-05
zt,119,1.361e-05
cj,118,1.349e-05
vt,117,1.338e-05
zl,114,1.304e-05
sz,111,1.27e-05
jp,111,1.27e-05
dx,109,1.247e-05
fq,108,1.236e-05
tx,107,1.225e-05
lz,100,1.145e-05
vm,98,1.123e-05
hz,97,1.111e-05
zs,96,1.1e-05
js,90,1.032e-05
vl,88,1.009e-05
zc,86,9.87e-06
xx,85,9.75e-06
jc,82,9.41e-06
qa,78,8.96e-06
zb,77,8.84e-06
zf,77,8.84e-06
wz,76,8.73e-06
zm,75,8.62e-06
vf,75,8.62e-06
vh,75,8.62e-06
qi,75,8.62e-06
cz,72,8.28e-06
vw,72,8.28e-06
jn,72,8.28e-06
jm,70,8.05e-06
zd,68,7.82e-06
bk,68,7.82e-06
xg,67,7.71e-06
xn,67,7.71e-06
rx,67,7.71e-06
gx,66,7.6e-06
jr,65,7.48e-06
vn,63,7.26e-06
gz,62,7.14e-06
qy,60,6.92e-06
vb,59,6.8e-06
pq,59,6.8e-06
jk,55,6.35e-06
lx,54,6.24e-06
mq,51,5.9e-06
vg,51,5.9e-06
jd,50,5.78e-06
fx,50,5.78e-06
zg,49,5.67e-06
mz,49,5.67e-06
zn,48,5.56e-06
ql,48,5.56e-06
wq,46,5.33e-06
zr,45,5.22e-06
jh,45,5.22e-06
vk,45,5.22e-06
zp,44,5.1e-06
kq,44,5.1e-06
vv,43,4.99e-06
bq,41,4.76e-06
mx,41,4.76e-06
wx,41,4.76e-06
jb,40,4.65e-06
xv,39,4.54e-06
qf,38,4.42e-06
qs,35,4.08e-06
uq,35,4.08e-06
jf,34,3.97e-06
qd,33,3.86e-06
fz,33,3.86e-06
yx,32,3.74e-06
jt,32,3.74e-06
qc,30,3.52e-06
zk,29,3.4e-06
xk,28,3.29e-06
xq,27,3.17e-06
qw,27,3.17e-06
hx,27,3.17e-06
jy,26,3.06e-06
jl,26,3.06e-06
qt,24,2.83e-06
zv,23,2.72e-06
jw,22,2.61e-06
qr,22,2.61e-06
zq,21,2.49e-06
qb,21,2.49e-06
kz,21,2.49e-06
bx,21,2.49e-06
jv,20,2.38e-06
qo,20,2.38e-06
bz,19,2.27e-06
cx,19,2.27e-06
jj,18,2.15e-06
qp,15,1.81e-06
qh,15,1.81e-06
px,15,1.81e-06
pz,14,1.7e-06
qm,14,1.7e-06
qe,13,1.59e-06
xj,13,1.59e-06
qx,13,1.59e-06
jg,12,1.47e-06
qv,11,1.36e-06
vj,11,1.36e-06
kx,10,1.25e-06
qn,9,1.13e-06
qq,9,1.13e-06
qk,9,1.13e-06
vq,9,1.13e-06
vx,8,1.02e-06
xz,7,9.1e-07
zj,7,9.1e-07
jq,7,9.1e-07
zx,7,9.1e-07
vz,4,5.7e-07
jz,3,4.5e-07
qg,3,4.5e-07
qz,2,3.4e-07
qj,2,3.4e-07
